SeedCode,LA Name,Centre Type,School Name,Address 1,Address 2,Address 3,Post code,E-mail,Phone,Primary,Secondary,Special,Primary roll,Secondary roll,Special roll,Primary,Secondary ,Special,6-Fold Urban/rural measure(1),8-fold Urban/rural measure(1),Denomination,Proportion of pupils from minority ethnic groups(3),Proportion of pupils who live in 20% most deprived datazones in Scotland(4)
8212627,North Ayrshire,Local Authority,Abbey Primary School,Claremont Crescent,,KILWINNING,KA13 7HG,abbey@ea.n-ayrshire.sch.uk,01294 552251,Primary,.,.,290,.,.,20,.,.,Other urban areas,Other urban areas,Non-denominational,0 - <5%,55 - <60%
5520924,Edinburgh City,Local Authority,Abbeyhill Primary School,Abbey Street,Edinburgh,,EH7 5SJ,admin@abbeyhill.edin.sch.uk,0131 661 3054,Primary,.,.,157,.,.,9.93,.,.,Large urban areas,Large urban areas,Non-denominational,>20%,5 - <10%
5237521,Aberdeen City,Local Authority,Abbotswell School,Faulds Gate,Kincorth,ABERDEEN,AB12 5QX,abbotswell@aberdeencity.gov.uk,01224 872714,Primary,.,.,230,.,.,14.1,.,.,Large urban areas,Large urban areas,Non-denominational,>20%,*
5212227,Aberdeenshire,Local Authority,Aberchirder School,Smith Crescent,Aberchirder Huntly,ABERDEENSHIRE,AB54 7TW,aberchirder.sch@aberdeenshire.gov.uk,01466 780241,Primary,.,.,128,.,.,7.9,.,.,Remote rural areas,Remote rural areas,Non-denominational,5 - <10%,0%
8448647,Glasgow City,Local Authority,Abercorn Secondary School,195 Garscube Road,,GLASGOW,G4 9QH,headteacher@abercorn-sec.glasgow.sch.uk,0141 332 6212,.,.,Special,.,.,119,.,.,28.1,Large urban areas,Large urban areas,Non-denominational,10 - <20%,55 - <60%
5701929,Clackmannanshire,Local Authority,Abercromby Primary School,4 School Road,Tullibody,,FK10 2PZ,abercromby@edu.clacks.gov.uk,01259 722972,Primary,.,.,371,.,.,24.2,.,.,Accessible small towns,Accessible small towns,Non-denominational,0 - <5%,40 - <45%
5244439,Aberdeen City,Local Authority,Aberdeen Grammar School,Skene Street,Aberdeen,,AB10 1HT,aberdeengrammarschool@aberdeencity.gov.uk,01224 642299,.,Secondary,.,.,1112,.,.,81.81,.,Large urban areas,Large urban areas,Non-denominational,>20%,0 - <5%
5245044,Aberdeen City,Local Authority,Aberdeen School for the Deaf,Sunnybank School,Sunnybank Road,ABERDEEN,AB24 3NJ,schoolfordeaf@aberdeencity.gov.uk,01224 261722,.,.,Special,.,.,13,.,.,3.51,Large urban areas,Large urban areas,Non-denominational,>20%,*
5440327,Fife,Local Authority,Aberdour Primary School,Hawkcraig Road,Aberdour,BURNTISLAND,KY3 0UP,aberdourps.enquiries@fife.gov.uk,01383 602442,Primary,.,.,169,.,.,10.98,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,10 - <20%,0%
5720028,Stirling,Local Authority,Aberfoyle Primary School,Lochard Road,Aberfoyle,,FK8 3SZ,aberps@stirling.gov.uk,01877 382278,Primary,.,.,61,.,.,4.6,.,.,Remote rural areas,Remote rural areas,Non-denominational,10 - <20%,0%
5400724,Fife,Local Authority,Aberhill Primary School,Wellesley Road,Methil,LEVEN,KY8 3AD,Aberhillps.enquiries@fife.gov.uk,01334 659446,Primary,.,.,279,.,.,17.39,.,.,Other urban areas,Other urban areas,Non-denominational,5 - <10%,75 - <80%
5552621,East Lothian,Local Authority,Aberlady Primary School,Moor Road,Aberlady,EAST LOTHIAN,EH32 0RQ,aberlady.ps@aberlady.elcshool.org.uk,01875 870232,Primary,.,.,123,.,.,7.2,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,5 - <10%,0%
5300126,Angus,Local Authority,Aberlemno Primary School,School Road,Aberlemno,FORFAR,DD8 3PE,Aberlemno@angusschools.org.uk,01307 473680,Primary,.,.,18,.,.,2.95,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,0%,*
5209722,Moray,Local Authority,Aberlour Primary School,Mary Avenue,Aberlour,MORAY,AB38 9PN,admin.aberlourp@moray-edunet.gov.uk,01340 871255,Primary,.,.,133,.,.,9.6,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,10 - <20%,0%
