"","PEB","educ","hhincome","Dem","Rep","female","Ideology","age","urban","public","private","NEP","CNS","environmentalist","enviro.move","age.1","act.org","cand","money.org","cont.off","cont.bus","petition","meeting","product","water","buycott","recycle","energy","stocks","nep1","nep2_r","nep3","nep4_r","nep5","nep6_r","nep7","nep8_r","nep9","nep10_r","nep11","nep12_r","nep13","nep14_r","nep15","cns1","cns2","cns3","cns4_r","cns5","cns6","cns7","cns8","cns9","cns10","cns11","cns12_r","cns13","cns14_r","mes1_r","mes_2","mes_3","mes_4","mes_5","mes_6","mes_7","mes8_r","mes_9","mes10_r","mes_11","mes_12","mes_13","mes_14","mes_15","mes_16","mes_17","mes_18","mes_19","mes_20","mes_21","mes22_r","mes23_r","mes_24","mes_25","mes_26","mes27_r","MES"
"1",7,2,5,1,0,1,4,76,2,2,5,3.53333333333333,3.64285714285714,0,3,76,0,0,1,0,0,1,0,1,1,1,1,1,0,3,3,2,3,1,5,1,4,2,1,3,2,2,4,1,2,2,2,2,2,2,2,2,3,2,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",6,5,5,1,0,1,4,35,1,1,5,3.93333333333333,3.64285714285714,0,3,35,0,0,1,0,0,0,0,1,1,1,1,1,0,1,3,3,4,1,3,1,1,2,2,1,2,2,3,2,2,2,1,2,2,1,2,2,4,3,3,4,3,2,3,3,5,4,5,5,5,5,5,5,5,4,5,4,4,4,4,4,5,4,5,5,3,5,4,3,3,4.2962962962963
"3",9,3,8,0,1,1,4,28,1,4,5,3.13333333333333,4.14285714285714,1,4,28,1,0,1,0,1,1,0,1,1,1,1,1,0,5,1,5,5,5,5,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",3,5,8,0,1,0,6,64,2,0,3,2,2.5,0,2,64,0,0,0,0,0,0,0,0,1,0,1,1,0,2,4,4,4,4,4,4,4,4,5,4,4,4,4,5,3,4,3,2,2,3,4,2,4,5,4,4,5,4,4,3,4,4,4,2,4,4,3,4,5,4,3,2,2,4,4,2,2,2,4,4,2,4,2,2,2,3.18518518518519
"5",8,4,2,0,1,1,2,21,3,3,5,4.26666666666667,4.07142857142857,0,3,21,0,1,1,0,0,1,0,1,1,1,1,1,0,1,3,1,2,1,4,1,2,2,2,1,1,1,3,1,2,2,2,2,1,2,1,2,2,2,3,2,1,3,4,4,5,1,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,4,4,4.37037037037037
"6",8,2,2,0,1,1,7,25,1,5,3,3.13333333333333,3.57142857142857,1,3,25,1,0,1,0,1,1,1,1,0,1,1,0,0,4,3,4,2,2,2,2,5,4,4,4,2,2,1,2,3,2,3,2,1,2,4,2,4,2,3,1,3,2,3,4,3,3,2,3,5,1,3,1,2,4,3,4,3,3,5,2,3,4,4,3,2,5,2,1,2,2.96296296296296
"7",8,3,2,1,0,1,3,20,1,3,5,3.53333333333333,3.71428571428571,1,2,20,0,0,1,1,0,1,0,1,1,1,1,1,0,2,3,2,4,1,4,1,4,2,4,1,2,1,5,1,1,1,1,2,2,2,2,2,2,3,3,4,3,4,3,3,4,3,4,4,4,2,4,4,4,3,4,5,4,3,5,5,5,5,5,3,3,4,4,3,2,3.77777777777778
"8",2,3,2,1,0,1,2,31,2,0,2,2.86666666666667,3.92857142857143,0,3,31,0,0,0,0,0,0,0,0,1,0,0,1,0,4,4,2,4,2,5,1,5,1,2,4,4,4,3,2,2,2,1,2,1,2,2,2,2,2,2,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",4,2,2,1,0,1,2,57,2,1,3,4.73333333333333,3.92857142857143,0,3,57,0,1,0,0,0,0,0,0,1,0,1,1,0,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,4,2,1,1,4,1,2,2,4,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",6,3,2,1,0,1,3,32,2,1,5,3.26666666666667,3.5,0,3,32,0,0,0,0,0,1,0,1,1,1,1,1,0,2,4,4,3,2,4,1,3,2,2,3,2,3,3,3,2,3,2,2,3,1,2,3,3,2,2,4,2,4,4,4,4,4,4,5,4,4,3,4,4,4,5,5,4,4,4,4,4,4,4,4,4,3,2,5,4,4
