motiv,funding,schoolid,grade
7.74,private,Kilsyth Academy,42.42
3.8899999999999997,private,Kilsyth Academy,61.54
6.2,private,Kilsyth Academy,45.73
4.82,private,Kilsyth Academy,46.95
7.04,private,Kilsyth Academy,50.44
3.94,private,Kilsyth Academy,19.22
7.41,private,Kilsyth Academy,42.65
7.140000000000001,private,Kilsyth Academy,55.84
4.97,private,Kilsyth Academy,16.38
5.48,private,Kilsyth Academy,63.08
5.89,private,Kilsyth Academy,30.54
7.62,private,Kilsyth Academy,46.57
7.0600000000000005,private,Kilsyth Academy,38.65
7.42,private,Kilsyth Academy,57.48
5.84,private,Kilsyth Academy,37.77
7.63,private,Kilsyth Academy,43.47
9.07,private,Kilsyth Academy,59.37
6.65,private,Kilsyth Academy,29.84
7.109999999999999,private,Kilsyth Academy,47.07
4.63,private,Kilsyth Academy,32.3
7.17,private,Kilsyth Academy,50.65
7.42,private,Kilsyth Academy,44.38
6.48,private,Kilsyth Academy,33.11
4.81,private,Kilsyth Academy,36.96
5.22,private,Kilsyth Academy,44.32
6.67,private,Kilsyth Academy,47.84
6.16,private,Kilsyth Academy,56.1
5.55,private,Kilsyth Academy,44.46
5.2,private,Kilsyth Academy,30.75
6.59,private,Kilsyth Academy,49.39
3.0700000000000003,private,St Andrew's Academy,44.59
5.55,private,St Andrew's Academy,32.41
4.76,private,St Andrew's Academy,40.13
4.98,private,St Andrew's Academy,49
4.38,private,St Andrew's Academy,46.02
5.53,private,St Andrew's Academy,44.04
3.55,private,St Andrew's Academy,28.22
2.63,private,St Andrew's Academy,55.23
4.33,private,St Andrew's Academy,29.47
2.74,private,St Andrew's Academy,38.9
3.31,private,St Andrew's Academy,52.1
3.77,private,St Andrew's Academy,25.19
3.98,private,St Andrew's Academy,62.87
3.62,private,St Andrew's Academy,39.61
5.11,private,St Andrew's Academy,49.53
4.99,private,St Andrew's Academy,38.55
4.1899999999999995,private,St Andrew's Academy,52.52
4.26,private,St Andrew's Academy,31.84
3.8,private,St Andrew's Academy,48.7
2.43,private,St Andrew's Academy,22.63
2.74,private,St Andrew's Academy,61.35
3.73,private,St Andrew's Academy,28.64
4.28,private,St Andrew's Academy,73
2.1,private,St Andrew's Academy,35.23
3.54,private,St Andrew's Academy,54.94
3.52,private,St Andrew's Academy,56.34
4.48,private,St Andrew's Academy,27.19
5.25,private,St Andrew's Academy,50.85
5.59,private,St Andrew's Academy,53.2
4.26,private,St Andrew's Academy,48.91
5.19,state,Bo'ness Academy,51.26
5.72,state,Bo'ness Academy,54.22
6.78,state,Bo'ness Academy,44.07
7.01,state,Bo'ness Academy,66.82
5.1,state,Bo'ness Academy,58.42
4.77,state,Bo'ness Academy,44.54
7.529999999999999,state,Bo'ness Academy,61.35
6.01,state,Bo'ness Academy,47.3
5.15,state,Bo'ness Academy,42.33
4.76,state,Bo'ness Academy,42.06
4.25,state,Bo'ness Academy,37.05
5.93,state,Bo'ness Academy,54.86
2.7,state,Bo'ness Academy,51.95
5.27,state,Bo'ness Academy,42.32
6.02,state,Bo'ness Academy,55.96
6.1899999999999995,state,Bo'ness Academy,63.78
6.29,state,Bo'ness Academy,44.98
4.97,state,Bo'ness Academy,70.84
4.38,state,Bo'ness Academy,42.62
4.05,state,Bo'ness Academy,34.5
5.1,state,Bo'ness Academy,64.68
5.21,state,Bo'ness Academy,61.23
6.85,state,Bo'ness Academy,55.05
5.4,state,Bo'ness Academy,42.25
4.13,state,Bo'ness Academy,45.31
5.79,state,Bo'ness Academy,62.29
4.34,state,Bo'ness Academy,60.44
6.55,state,Bo'ness Academy,68.52
3.1399999999999997,state,Bo'ness Academy,47.16
2.93,state,Bo'ness Academy,33.17
2.94,state,Craigie High School,48.82
2.32,state,Craigie High School,16.51
3.5700000000000003,state,Craigie High School,36.7
3.23,state,Craigie High School,22.04
6.18,state,Craigie High School,49.72
3.24,state,Craigie High School,38.96
5.76,state,Craigie High School,55.3
5.44,state,Craigie High School,43.2
5.42,state,Craigie High School,57.79
2.58,state,Craigie High School,27.47
3.62,state,Craigie High School,31.59
3.6100000000000003,state,Craigie High School,50.19
5.3,state,Craigie High School,32.54
2.95,state,Craigie High School,35.33
3.02,state,Craigie High School,42.59
4.96,state,Craigie High School,52.39
4.2,state,Craigie High School,57.26
4.62,state,Craigie High School,56.82
5.32,state,Craigie High School,47.21
4.52,state,Craigie High School,45.27
5.61,state,Craigie High School,57.48
3.63,state,Craigie High School,39.44
3.58,state,Craigie High School,42.94
5.1,state,Craigie High School,55.41
3.6399999999999997,state,Craigie High School,53.05
5.06,state,Craigie High School,50.39
6.29,state,Craigie High School,45.82
3.69,state,Craigie High School,46.08
3.81,state,Craigie High School,30.12
4.5,state,Craigie High School,42.59
5.5,private,Calderglen High School,62.63
5.74,private,Calderglen High School,58.01
6.03,private,Calderglen High School,61.86
4.55,private,Calderglen High School,64.56
6.59,private,Calderglen High School,69.74
5.17,private,Calderglen High School,35.21
4.78,private,Calderglen High School,74.12
6.23,private,Calderglen High School,41.92
5.71,private,Calderglen High School,34.22
5.77,private,Calderglen High School,54.45
5.98,private,Calderglen High School,60.04
7.41,private,Calderglen High School,69.48
5.27,private,Calderglen High School,61.09
3.94,private,Calderglen High School,62.72
5.61,private,Calderglen High School,64.39
5.62,private,Calderglen High School,40.9
6.48,private,Calderglen High School,49.8
5.87,private,Calderglen High School,54.15
6.42,private,Calderglen High School,63.94
5.78,private,Calderglen High School,72.62
5.62,private,Calderglen High School,52.88
7,private,Calderglen High School,42.47
7.65,private,Calderglen High School,43.6
5.5600000000000005,private,Calderglen High School,69.17
5.08,private,Calderglen High School,41.75
5.92,private,Calderglen High School,51.58
5.27,private,Calderglen High School,53.52
5.93,private,Calderglen High School,56.33
5.9399999999999995,private,Calderglen High School,55.2
4.2,private,Calderglen High School,46.85
5.78,state,Strathaven Academy,40.94
3.75,state,Strathaven Academy,25.71
7.6899999999999995,state,Strathaven Academy,56.59
8.01,state,Strathaven Academy,42
6.93,state,Strathaven Academy,45.34
6,state,Strathaven Academy,35.99
6.51,state,Strathaven Academy,45.72
7.46,state,Strathaven Academy,34.73
4.47,state,Strathaven Academy,10.07
6.4,state,Strathaven Academy,40.45
6.41,state,Strathaven Academy,42.32
4.64,state,Strathaven Academy,32.29
5.95,state,Strathaven Academy,42.78
6.61,state,Strathaven Academy,73.44
4.98,state,Strathaven Academy,18.24
6.0600000000000005,state,Strathaven Academy,7.09
6.32,state,Strathaven Academy,51.79
6.3100000000000005,state,Strathaven Academy,41.07
5.67,state,Strathaven Academy,39.58
4.27,state,Strathaven Academy,15.85
5.57,state,Strathaven Academy,56.96
6.41,state,Strathaven Academy,54.27
5.63,state,Strathaven Academy,28.42
5.93,state,Strathaven Academy,41.3
4.69,state,Strathaven Academy,59.22
7.279999999999999,state,Strathaven Academy,59.73
5.88,state,Strathaven Academy,29.31
7.42,state,Strathaven Academy,59.3
7.62,state,Strathaven Academy,51.51
7,state,Strathaven Academy,45.47
4.9,state,St Andrew's and St Bride's High School,81.9
3.6100000000000003,state,St Andrew's and St Bride's High School,55.74
2.96,state,St Andrew's and St Bride's High School,38.04
3.01,state,St Andrew's and St Bride's High School,40.77
4.22,state,St Andrew's and St Bride's High School,72.18
5.58,state,St Andrew's and St Bride's High School,50.88
5.48,state,St Andrew's and St Bride's High School,61.41
5.07,state,St Andrew's and St Bride's High School,71.57
3.62,state,St Andrew's and St Bride's High School,61.66
6.3100000000000005,state,St Andrew's and St Bride's High School,74.88
6.04,state,St Andrew's and St Bride's High School,63.35
5.24,state,St Andrew's and St Bride's High School,54.06
4.36,state,St Andrew's and St Bride's High School,43.28
6.07,state,St Andrew's and St Bride's High School,65.3
4.99,state,St Andrew's and St Bride's High School,62.78
4.3,state,St Andrew's and St Bride's High School,77.24
6.01,state,St Andrew's and St Bride's High School,66.98
3.59,state,St Andrew's and St Bride's High School,33.71
4.8,state,St Andrew's and St Bride's High School,43.73
6.67,state,St Andrew's and St Bride's High School,78.37
4.4399999999999995,state,St Andrew's and St Bride's High School,42.79
2.44,state,St Andrew's and St Bride's High School,30.96
6.15,state,St Andrew's and St Bride's High School,51.69
5.15,state,St Andrew's and St Bride's High School,65.74
2.42,state,St Andrew's and St Bride's High School,49.67
3.92,state,St Andrew's and St Bride's High School,49.09
4.18,state,St Andrew's and St Bride's High School,39.52
4.1899999999999995,state,St Andrew's and St Bride's High School,43.13
4.62,state,St Andrew's and St Bride's High School,37.56
5.74,state,St Andrew's and St Bride's High School,38.89
4.21,private,St Ambrose High School,82.44
5.36,private,St Ambrose High School,54.32
7.37,private,St Ambrose High School,53.41
6.07,private,St Ambrose High School,63.53
4.8,private,St Ambrose High School,49.68
5.02,private,St Ambrose High School,39.85
4.22,private,St Ambrose High School,57.66
