qitem,wording,subscale,1,2,3,4,5,6
1,I've been turning to work or other activities to take my mind off things.,Self-distraction 1,,,,,,
5,I've been getting emotional support from others.,Emotional support 1,0.844,−.012,−.021,0.055,0.15,0.085
10,I've been getting help and advice from other people.,Use of instrumental support 1,0.773,0.09,−.069,0.061,−.124,−.122
15,I've been getting comfort and understanding from someone.,Emotional support 2,0.763,0.009,−.024,0.123,0.103,−.079
23,I've been trying to get advice or help from other people about what to do.,Use of instrumental support 2,0.727,0.166,−.069,0.118,−.038,−.179
21,I've been expressing my negative feelings.,Venting 2,0.568,0.166,0.148,−.149,−.010,−.098
6,I've been giving up trying to deal with it.,Behavioural disengagement 1,−.060,0.778,0.102,−.047,0.006,0.084
16,I've been giving up the attempt to cope.,Behavioural disengagement 2,0.078,0.766,−.024,−.043,−.011,0.085
26,I've been blaming myself for things that happened.,Self-blame 2,0.156,0.749,−.028,−.012,−.094,0.063
13,I've been criticizing myself.,Self-blame 1,0.086,0.668,0.167,−.171,0.006,0.024
8,I've been refusing to believe that it has happened.,Denial 2,−.025,0.62,−.104,0.24,0.183,−.170
3,"I've been saying to myself ""this isn't real."".",Denial 1,−.163,0.522,−.044,0.081,0.166,−.468
9,I've been saying things to let my unpleasant feelings escape.,Venting 1,0.237,0.463,0.055,0.105,0.101,0.007
18,I've been making jokes about it.,Humor 1,−.141,0.086,0.721,0.143,0.206,−.109
19,"I've been doing something to think about it less, such as going to movies, watching TV, reading, daydreaming, sleeping, or shopping.",Self-distraction 2,−.003,0.216,0.707,−.082,−.150,0.182
28,I've been making fun of the situation.,Humor 2,0.013,0.079,0.681,−.005,0.113,0.059
17,I've been looking for something good in what is happening.,Positive reframing 2,0.01,−.081,0.524,0.211,−.114,−.309
24,I've been learning to live with it.,Acceptance 2,0.129,−.201,0.496,−.050,−.038,−.148
20,I've been accepting the reality of the fact that it has happened.,Acceptance 1,0.379,−.340,0.424,−.064,0.004,−.039
27,I've been praying or meditating.,Religion 2,0.012,0.009,0.062,0.876,−.059,0.086
22,I've been trying to find comfort in my religion or spiritual beliefs.,Religion 1,0.167,−.034,−.044,0.868,−.043,0.101
12,"I've been trying to see it in a different light, to make it seem more positive.",Positive reframing 1,−.050,−.050,0.379,0.381,−.043,−.211
4,I've been using alcohol or other drugs to make myself feel better.,Substance use 1,0.048,−.020,0.094,−.047,0.906,0.044
11,I've been using alcohol or other drugs to help me get through it.,Substance use 2,0.076,0.023,0.009,−.087,0.9,0.044
14,I've been trying to come up with a strategy about what to do.,Planning 1,0.125,0.016,0.019,−.127,−.139,−.810
7,I've been taking action to try to make the situation better.,Active coping 2,0.02,−.056,0.148,−.003,−.076,−.764
2,I've been concentrating my efforts on doing something about the situation I'm in.,Active coping 1,0.107,−.114,−.096,0.036,0.176,−.631
25,I've been thinking hard about what steps to take.,Planning 2,0.292,0.009,0.067,−.018,−.190,−.608
