ppt_id,item_id,pairing,logRT
ppt1,item1,Associated,4.32717072416934
ppt1,item1,Unassociated,4.70229611539117
ppt2,item1,Associated,4.17171442606788
ppt2,item1,Unassociated,4.91111787803687
ppt3,item1,Associated,4.45336009126318
ppt3,item1,Unassociated,5.13014421956305
ppt4,item1,Associated,4.41138230593921
ppt4,item1,Unassociated,6.53985461962339
ppt5,item1,Associated,5.18601730711212
ppt5,item1,Unassociated,6.64013695502559
ppt6,item1,Associated,4.7380017874415
ppt6,item1,Unassociated,5.96373363641286
ppt7,item1,Associated,5.23169808831638
ppt7,item1,Unassociated,5.69926753899455
ppt8,item1,Associated,4.23018839955457
ppt8,item1,Unassociated,6.19210237944948
ppt9,item1,Associated,3.96920774323558
ppt9,item1,Unassociated,5.66238357309813
ppt10,item1,Associated,4.81412730900156
ppt10,item1,Unassociated,6.0497361514135
ppt11,item1,Associated,4.88716416457603
ppt11,item1,Unassociated,6.8408568573928
ppt12,item1,Associated,4.22077041522916
ppt12,item1,Unassociated,6.04295602194095
ppt13,item1,Associated,4.20563729310468
ppt13,item1,Unassociated,5.46916080639867
ppt14,item1,Associated,2.74451630247229
ppt14,item1,Unassociated,3.45322486115281
ppt15,item1,Associated,4.64638322124626
ppt15,item1,Unassociated,5.57648977291147
ppt16,item1,Associated,4.52054454137658
ppt16,item1,Unassociated,6.10083976922308
ppt17,item1,Associated,4.29335113608876
ppt17,item1,Unassociated,5.20803819064329
ppt18,item1,Associated,4.10829920081808
ppt18,item1,Unassociated,6.42389958766843
ppt19,item1,Associated,4.38018108200616
ppt19,item1,Unassociated,5.60141726706695
ppt20,item1,Associated,5.27031129192344
ppt20,item1,Unassociated,5.72644709602852
ppt21,item1,Associated,5.07844157867131
ppt21,item1,Unassociated,6.88298870565104
ppt22,item1,Associated,5.87700353281622
ppt22,item1,Unassociated,6.94675803331748
ppt23,item1,Associated,4.43672939041504
ppt23,item1,Unassociated,5.86044937690123
ppt24,item1,Associated,3.06421299097948
ppt24,item1,Unassociated,3.27843578508533
ppt25,item1,Associated,5.18581550919544
ppt25,item1,Unassociated,6.02424072495798
ppt26,item1,Associated,4.49338946029248
ppt26,item1,Unassociated,6.03811014359342
ppt27,item1,Associated,3.33304549126992
ppt27,item1,Unassociated,5.3338095495438
ppt28,item1,Associated,4.03849080218911
ppt28,item1,Unassociated,4.35856538209522
ppt29,item1,Associated,3.20367055138134
ppt29,item1,Unassociated,4.40812098739468
ppt30,item1,Associated,5.18676606464374
ppt30,item1,Unassociated,5.62196504640225
ppt31,item1,Associated,3.8936575744553
ppt31,item1,Unassociated,6.64381019304383
ppt32,item1,Associated,3.34120021157495
ppt32,item1,Unassociated,4.41630655587834
ppt33,item1,Associated,4.10283911495534
ppt33,item1,Unassociated,5.79237362435966
ppt34,item1,Associated,4.52282454268538
ppt34,item1,Unassociated,5.15143485996404
ppt35,item1,Associated,3.61362259905254
ppt35,item1,Unassociated,4.84794804952917
ppt36,item1,Associated,3.81154551953697
ppt36,item1,Unassociated,4.80860779981704
ppt37,item1,Associated,4.20780199890946
ppt37,item1,Unassociated,5.73453071449348
ppt38,item1,Associated,3.77119044756495
ppt38,item1,Unassociated,5.5346424301504
ppt39,item1,Associated,4.67085123171354
ppt39,item1,Unassociated,5.72384834188385
ppt40,item1,Associated,4.7157465298805
ppt40,item1,Unassociated,6.15885083887403
ppt41,item1,Associated,4.06653380322243
ppt41,item1,Unassociated,5.64871333896798
