id,RiskTake,Q1,Q2,Q3,ScaleScore
P001,20,40,50,20,36.666666666666664
P002,10,30,40,70,26.666666666666668
P003,28,77,72,56,59
P004,20,65,60,90,48.333333333333336
P005,7,57,56,39,40
P006,17,41,41,26,33
P007,16,56,69,48,47
P008,32,46,29,20,35.666666666666664
P009,18,8,16,0,14
P010,32,49,46,42,42.333333333333336
P011,31,65,73,64,56.333333333333336
P012,24,58,45,67,42.333333333333336
P013,23,21,24,11,22.666666666666668
P014,33,48,50,70,43.666666666666664
P015,38,7,11,36,18.666666666666668
P016,23,55,29,61,35.666666666666664
P017,12,59,55,43,42
P018,14,78,77,81,56.333333333333336
P019,19,58,61,48,46
P020,24,65,81,43,56.666666666666664
P021,23,30,37,40,30
P022,25,63,54,9,47.333333333333336
P023,23,54,65,62,47.333333333333336
P024,22,68,78,83,56
P025,34,64,62,42,53.333333333333336
P026,38,36,45,78,39.666666666666664
P027,21,41,45,50,35.666666666666664
P028,36,54,65,36,51.666666666666664
P029,36,54,53,35,47.666666666666664
P030,14,46,69,59,43
P031,38,39,22,41,33
P032,22,47,32,75,33.666666666666664
P033,33,27,32,47,30.666666666666668
P034,23,59,64,79,48.666666666666664
P035,25,63,62,45,50
P036,19,39,30,41,29.333333333333332
P037,5,89,81,100,58.333333333333336
P038,38,52,62,70,50.666666666666664
P039,29,54,50,39,44.333333333333336
P040,30,46,39,50,38.333333333333336
P041,12,45,50,59,35.666666666666664
P042,19,88,94,80,67
P043,7,57,47,54,37
P044,26,58,52,81,45.333333333333336
P045,38,16,10,37,21.333333333333332
P046,38,33,26,65,32.333333333333336
P047,23,31,35,37,29.666666666666668
P048,12,35,32,67,26.333333333333332
P049,36,47,38,39,40.333333333333336
P050,38,34,23,59,31.666666666666668
P051,3,65,58,47,42
P052,38,44,32,64,38
P053,8,53,52,9,37.666666666666664
P054,25,60,55,53,46.666666666666664
P055,24,58,59,51,47
P056,35,44,49,48,42.666666666666664
P057,5,64,57,83,42
P058,33,22,30,45,28.333333333333332
P059,14,41,49,41,34.666666666666664
P060,23,45,51,11,39.666666666666664
P061,23,56,73,89,50.666666666666664
P062,8,28,31,26,22.333333333333332
P063,19,52,50,24,40.333333333333336
P064,29,35,35,45,33
P065,24,29,30,50,27.666666666666668
P066,22,67,52,57,47
P067,23,52,49,34,41.333333333333336
P068,31,36,31,3,32.666666666666664
P069,18,59,35,51,37.333333333333336
P070,22,53,63,86,46
P071,38,59,59,81,52
P072,12,37,31,46,26.666666666666668
P073,21,47,42,13,36.666666666666664
P074,11,38,52,91,33.666666666666664
P075,35,43,55,44,44.333333333333336
P076,23,62,44,65,43
P077,23,45,43,80,37
P078,35,34,34,47,34.333333333333336
P079,3,46,48,69,32.333333333333336
P080,11,59,44,14,38
P081,31,49,59,52,46.333333333333336
P082,11,43,49,59,34.333333333333336
P083,28,38,40,91,35.333333333333336
P084,28,40,31,69,33
P085,25,50,51,62,42
P086,18,61,56,22,45
P087,0,54,78,73,44
P088,32,49,62,70,47.666666666666664
P089,10,38,36,1,28
P090,7,56,48,25,37
P091,12,42,52,19,35.333333333333336
P092,29,59,49,67,45.666666666666664
P093,31,55,52,55,46
P094,32,45,26,42,34.333333333333336
P095,21,70,46,65,45.666666666666664
P096,19,56,56,100,43.666666666666664
P097,12,68,59,56,46.333333333333336
P098,11,37,41,60,29.666666666666668
P099,24,57,53,77,44.666666666666664
P100,28,55,54,44,45.666666666666664
