weeknr,week,lec,leclink,lab,lablink
1,Welcome,Course Introduction,https://uoepsy.github.io/dapr3/2324/lectures/dapr3_2324_00_intro.html#1,,
1.01,Week 1,Linear Model Refresher,https://uoepsy.github.io/dapr3/2324/lectures/dapr3_2324_01a_lmrefresh.html#1,LAB: Regression Refresh | Clustered Data,https://uoepsy.github.io/dapr3/2324/labs/01_regressionrefresh.html
,,Clustered Data,https://uoepsy.github.io/dapr3/2324/lectures/dapr3_2324_01b_clusters.html#1,,
1.02,Week 2,Introduction to Multilevel Models,https://uoepsy.github.io/dapr3/2324/lectures/dapr3_2324_02a_intromlm.html#1,LAB: Intro to Multilevel Models,https://uoepsy.github.io/dapr3/2324/labs/02_intromlm.html
,,Inference in Multilevel Models,https://uoepsy.github.io/dapr3/2324/lectures/dapr3_2324_02b_inference.html#1,,
1.03,Week 3,Assumptions and Diagnostics,https://uoepsy.github.io/dapr3/2324/lectures/dapr3_2324_03a_assumptdiag.html,LAB: Assumption & Diagnostics | Centering,https://uoepsy.github.io/dapr3/2324/labs/03_assumptcent.html
,,Centering,https://uoepsy.github.io/dapr3/2324/lectures/dapr3_2324_03b_centering.html,,
1.04,Week 4,Random Effect Structures,https://uoepsy.github.io/dapr3/2324/lectures/dapr3_2324_04a_ranef.html,LAB: Random Effect Structures | Logistic MLM,https://uoepsy.github.io/dapr3/2324/labs/04_ranefglmer.html
,,Model Building,https://uoepsy.github.io/dapr3/2324/lectures/dapr3_2324_04b_modelbuilding.html,,
,,(Optional) Logistic Multilevel Models,https://uoepsy.github.io/dapr3/2324/lectures/dapr3_2324_04c_glmer.html,,
1.05,Week 5,Research Questions & Writing Up,https://uoepsy.github.io/dapr3/2324/lectures/dapr3_2324_05b_rq2mod.html,LAB: Recap,https://uoepsy.github.io/dapr3/2324/labs/05_recap.html
,,,,LMM datasets,https://uoepsy.github.io/dapr3/2324/labs/05b_lmmdatasets.html
1.06,Week 6,---,,---,
1.07,Week 7,Path Analysis,https://uoepsy.github.io/dapr3/2324/lectures/dapr3_06_pathintro.html,LAB: Path Analysis,https://uoepsy.github.io/dapr3/2324/labs/07_path1.html
1.08,Week 8,Path Mediation,https://uoepsy.github.io/dapr3/2324/lectures/dapr3_07_pathmediation.html,LAB: Path Mediation,https://uoepsy.github.io/dapr3/2324/labs/08_path2.html
1.09,Week 9,Principal Component Analysis (PCA),https://uoepsy.github.io/dapr3/2324/lectures/dapr3_08_pca.html,LAB: PCA,https://uoepsy.github.io/dapr3/2324/labs/09_pca.html
1.1,Week 10,Exploratory Factor Analysis (EFA) I,https://uoepsy.github.io/dapr3/2324/lectures/dapr3_09_efa1.html,LAB: EFA I,https://uoepsy.github.io/dapr3/2324/labs/10_efa.html
1.11,Week 11,Exploratory Factor Analysis (EFA) II,https://uoepsy.github.io/dapr3/2324/lectures/dapr3_10_efa2.html#1,LAB: EFA II,https://uoepsy.github.io/dapr3/2324/labs/11_efa2.html
