weeknr,week,lec,leclink,lab,lablink
1,Welcome,Course Intro,https://uoepsy.github.io/dapr3/2425/lectures/00intro.html,,
1.01,Week 1,Regression Refresh & Group-Structured Data,https://uoepsy.github.io/dapr3/2425/lectures/01regression.html,Reading: Group-Structured Data,https://uoepsy.github.io/lmm/01_clustered.html
,,,,Exercises: Regression & Clustered Data,https://uoepsy.github.io/dapr3/2425/labs/01ex.html
1.02,Week 2,Multilevel Models,https://uoepsy.github.io/dapr3/2425/lectures/02mlm.html,Reading: The Multi-level/Mixed-effect Model,https://uoepsy.github.io/lmm/02_lmm.html
,,,,Exercises: Introducing MLM,https://uoepsy.github.io/dapr3/2425/labs/02ex.html
1.03,Week 3,Random Effect Structures & Model Building,https://uoepsy.github.io/dapr3/2425/lectures/03ranef.html,Reading: Random Effect Structures ,https://uoepsy.github.io/lmm/07_ranef.html
,,,,Reading: Model Building,https://uoepsy.github.io/lmm/08_modelbuilding.html
,,,,Exercises: Nested & Crossed Structures,https://uoepsy.github.io/dapr3/2425/labs/03ex.html
1.04,Week 4,"Assumptions, Diagnostics & Centering",https://uoepsy.github.io/dapr3/2425/lectures/04assumptions.html,Reading: MLM Assumptions & Diagnostics,https://uoepsy.github.io/lmm/09_assump.html
,,,,Reading: Centering Predictors in MLM,https://uoepsy.github.io/lmm/10_centering.html
,,,,Exercises: Centering,https://uoepsy.github.io/dapr3/2425/labs/04ex.html
1.05,Week 5,Recap & The Research Process,https://uoepsy.github.io/dapr3/2425/lectures/05recap.html,"Reading: Reporting on analyses with MLM
",https://uoepsy.github.io/lmm/11_writing.html
,,,,Exercises: Bringing it all together,https://uoepsy.github.io/dapr3/2425/labs/05ex.html
1.06,Week 6,No Lecture,,No Lab,
1.07,Week 7,Introduction to Psychometric Testing,https://uoepsy.github.io/dapr3/2425/lectures/07psychometrics.html,Reading:  Questionnaire Data Wrangling,https://uoepsy.github.io/dapr3/2425/labs/r07_qdata.html
,,,,Exercises: Questionnaire Data & Scale Scores,https://uoepsy.github.io/dapr3/2425/labs/07ex.html
1.08,Week 8,Principal Component Analysis (PCA),https://uoepsy.github.io/dapr3/2425/lectures/08pca.html,Reading: PCA,https://uoepsy.github.io/dapr3/2425/labs/r08_pca.html
,,,,Exercises: PCA,https://uoepsy.github.io/dapr3/2425/labs/08ex.html
1.09,Week 9,Exploratory Factor Analysis (EFA),https://uoepsy.github.io/dapr3/2425/lectures/09efaJK.html,Reading: EFA,https://uoepsy.github.io/dapr3/2425/labs/r09_efa.html
,,,,Exercises: EFA,https://uoepsy.github.io/dapr3/2425/labs/09ex.html
1.1,Week 10,More EFA,https://uoepsy.github.io/dapr3/2425/lectures/10efa2JK.html,"Exercises: More EFA, replicability, reliability",https://uoepsy.github.io/dapr3/2425/labs/10ex.html
1.11,Week 11,Recap,https://uoepsy.github.io/dapr3/2425/lectures/11recap.html,Mock Exam Qs,
,,Exam Prep,https://uoepsy.github.io/dapr3/2425/lectures/11exam.html,,
