id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12
1,4,4,5,5,4,6,3,4,3,5,4,4
2,6,6,7,7,7,7,3,3,3,3,6,5
3,6,5,7,5,5,5,5,4,2,3,4,5
4,5,6,6,4,4,4,6,6,4,3,7,5
5,3,2,3,5,5,5,3,3,4,4,6,3
6,1,2,1,5,5,4,4,5,6,3,4,2
7,5,4,6,3,2,3,3,3,3,7,4,3
8,5,6,6,5,4,5,4,3,4,5,3,3
9,5,5,6,3,3,3,6,6,2,4,3,5
10,4,5,4,3,4,2,6,6,4,4,3,3
11,5,5,5,6,6,5,6,6,4,3,4,3
12,4,3,4,5,4,5,2,2,4,4,6,5
13,5,5,5,5,5,5,5,5,3,6,4,4
14,4,4,4,6,5,6,6,6,4,5,5,4
15,3,2,5,6,6,5,5,5,4,3,6,3
16,4,5,4,5,5,4,5,5,5,4,3,5
17,4,4,5,3,3,4,5,4,4,4,5,4
18,3,3,4,5,5,4,7,7,5,5,3,5
19,4,4,3,5,5,5,4,4,4,4,5,6
20,2,3,2,4,3,5,4,4,5,6,5,4
21,4,4,4,4,5,4,4,4,3,4,2,2
22,4,4,5,4,4,4,5,5,3,6,3,3
23,5,5,5,5,5,4,4,4,4,4,4,2
24,4,4,4,1,1,1,4,4,5,5,3,4
25,4,4,5,5,5,3,5,4,3,5,5,4
26,5,5,5,6,6,6,2,2,3,4,3,3
27,4,5,3,4,4,4,3,4,2,4,4,5
28,3,4,2,3,3,3,4,4,4,1,1,3
29,5,4,5,3,3,3,4,5,4,2,6,6
30,4,5,4,4,5,4,3,3,6,5,7,4
31,5,5,5,5,4,4,4,4,3,6,6,4
32,3,2,4,4,4,5,4,4,3,3,4,5
33,2,2,3,6,6,6,5,5,3,6,6,4
34,4,4,4,3,3,3,3,3,1,3,5,3
35,4,4,5,5,6,4,3,3,3,5,6,4
36,6,7,5,4,4,4,4,4,3,3,4,5
37,2,1,3,4,4,3,7,7,3,4,2,4
38,5,6,5,5,5,5,5,5,3,4,5,2
39,3,3,4,3,4,3,5,5,7,4,5,5
40,5,5,5,7,7,7,4,5,2,5,4,6
41,4,5,3,4,4,4,5,5,4,7,4,5
42,4,4,4,5,3,6,6,6,6,7,3,4
43,5,5,5,5,6,5,3,3,4,4,6,4
44,4,4,4,5,5,5,3,4,5,3,5,4
45,4,4,5,4,4,5,5,5,5,4,4,4
46,4,5,3,5,5,5,6,6,5,4,3,3
47,4,4,4,6,5,6,5,5,6,3,3,6
48,4,4,5,3,2,3,3,3,4,5,2,2
49,4,3,4,3,3,3,3,3,4,2,4,4
50,4,4,3,4,3,5,3,3,4,3,5,4
51,5,5,5,4,4,4,4,4,4,5,4,4
52,4,4,4,6,7,5,4,4,4,4,6,3
53,1,1,1,6,6,5,3,2,3,5,6,3
54,3,3,4,4,3,4,5,5,4,4,6,2
55,3,2,3,4,5,4,5,5,4,3,6,4
56,1,2,2,4,4,4,4,4,2,6,3,3
57,6,7,6,4,4,4,2,2,4,3,6,4
58,5,5,5,3,4,3,2,2,4,2,5,4
59,4,5,3,4,4,3,3,3,4,4,4,4
60,5,5,6,2,2,3,5,5,2,3,4,4
61,5,5,5,7,6,7,5,4,5,3,2,4
62,4,5,3,6,6,6,3,3,4,6,5,4
63,1,2,1,5,5,5,5,5,3,2,4,6
64,3,3,4,5,4,5,5,5,4,6,6,6
65,4,4,5,6,6,6,6,6,3,6,5,4
66,5,4,5,3,3,5,5,5,5,2,5,4
67,4,4,3,3,3,2,4,4,5,7,5,3
68,5,6,5,6,6,6,5,5,6,4,5,3
69,3,4,3,1,2,1,4,4,5,5,6,5
70,5,5,5,6,7,5,3,3,4,2,2,5
71,5,5,5,3,3,4,3,3,5,3,4,4
72,5,4,5,6,6,6,5,5,1,5,7,4
73,5,5,6,5,4,6,6,6,5,4,4,3
74,3,4,3,5,5,5,4,5,1,5,5,5
75,3,4,2,6,6,5,3,3,4,3,4,2
76,5,6,4,4,4,4,4,4,4,5,6,4
77,4,4,4,3,3,4,6,6,5,4,5,1
78,6,6,6,4,4,4,4,4,3,4,3,2
79,3,3,5,7,7,6,5,5,4,5,3,5
80,3,4,3,4,5,4,5,5,5,5,5,5
81,4,4,4,4,4,5,4,4,2,5,6,5
82,2,2,3,5,5,4,5,5,5,4,4,4
83,6,7,6,6,6,6,5,5,3,5,5,4
84,7,7,7,4,3,5,4,4,3,6,4,2
85,5,6,5,4,4,4,5,5,3,5,4,5
86,5,5,6,2,2,3,6,6,4,4,2,3
87,4,4,4,5,4,4,2,2,4,4,5,3
88,3,4,3,5,5,5,3,3,4,4,6,5
89,4,4,4,4,5,3,5,5,5,3,3,4
90,4,5,4,5,5,5,4,4,6,7,5,5
91,4,4,4,5,5,4,6,6,3,3,3,3
92,6,7,6,5,5,4,3,3,4,7,4,4
93,4,4,4,4,4,5,6,6,5,6,5,5
94,5,5,5,2,3,2,4,4,3,4,2,2
95,4,5,4,7,7,6,3,3,3,4,3,5
96,5,5,4,4,4,4,4,4,5,6,4,4
97,7,7,6,4,4,5,3,2,5,3,4,4
98,6,6,5,6,6,6,4,5,6,3,5,4
99,5,5,5,2,2,2,3,3,4,6,4,4
100,4,4,4,4,3,5,4,4,6,3,5,6
101,4,5,4,4,3,4,5,5,2,4,4,5
102,2,2,2,2,2,3,5,5,5,5,3,4
103,5,6,5,2,2,1,2,2,4,4,5,4
104,5,5,5,7,7,7,5,5,4,2,6,4
105,3,4,4,6,4,6,3,3,3,4,5,3
106,4,5,4,5,5,5,5,5,4,7,5,4
107,2,4,2,5,6,4,4,4,2,3,6,4
108,4,4,5,4,5,4,5,5,4,5,6,5
109,3,3,3,4,5,4,3,2,5,4,5,2
110,5,5,5,4,4,5,4,4,4,7,5,4
111,5,5,4,5,5,4,5,6,2,3,5,6
112,5,5,5,4,4,5,5,5,5,5,5,5
113,4,4,5,5,5,5,5,5,4,2,4,4
114,2,2,2,4,4,5,7,7,3,6,4,3
115,5,6,6,5,5,5,5,5,4,4,7,6
116,3,3,3,5,4,4,4,5,4,4,6,4
117,5,5,6,5,5,5,3,3,6,4,5,4
118,3,4,3,5,5,5,4,4,3,5,4,4
119,4,5,5,5,5,4,2,3,4,3,5,5
120,3,4,3,3,4,3,5,5,4,6,4,5
121,2,3,3,4,4,5,5,5,6,3,6,4
122,4,5,4,4,3,4,1,1,5,3,6,5
123,2,2,2,2,3,2,5,5,4,4,5,4
124,4,4,4,6,6,5,4,4,2,6,4,6
125,3,4,3,4,4,5,5,5,4,2,4,4
126,5,5,5,6,6,6,4,4,4,4,4,5
127,3,4,4,6,5,7,4,4,7,3,4,2
128,4,5,5,4,4,4,4,4,4,5,4,5
129,5,6,5,3,3,4,4,3,3,3,4,3
130,4,5,4,3,2,4,5,5,4,2,3,4
131,3,3,4,3,3,2,4,4,4,3,4,5
132,6,6,6,3,3,3,4,4,4,6,5,5
133,3,3,3,3,4,3,5,4,4,7,3,2
134,5,5,5,4,4,4,5,5,3,6,4,4
135,5,5,6,5,5,5,5,5,1,4,6,3
136,2,3,2,2,2,3,5,5,2,1,4,5
137,1,1,2,4,5,3,3,3,3,3,6,4
138,6,6,6,2,2,3,4,4,4,5,5,6
139,1,2,2,6,6,5,3,4,6,5,5,5
140,3,3,3,7,7,7,4,4,5,3,2,3
141,4,4,4,4,4,4,3,3,2,4,7,3
142,4,5,3,5,5,6,5,5,3,3,5,3
143,3,3,3,4,4,3,3,3,4,3,3,4
144,3,4,4,5,5,5,5,5,4,3,7,6
145,3,2,3,4,4,4,4,4,5,4,7,4
146,6,6,6,4,4,3,4,4,7,6,5,5
147,3,3,3,2,2,4,3,3,5,4,3,3
148,4,5,3,3,2,3,4,5,3,5,5,5
149,3,3,3,3,4,3,3,3,2,5,4,2
150,3,3,3,6,6,6,5,5,4,6,4,3
151,3,4,2,2,3,3,3,4,4,2,3,6
152,5,5,4,5,5,5,5,6,5,7,5,5
153,4,4,5,2,2,3,5,5,4,3,5,7
154,5,6,6,6,5,5,4,4,5,5,6,6
155,3,3,3,5,5,5,5,5,6,5,3,5
156,4,5,4,3,3,3,2,2,6,2,7,5
157,3,3,4,4,4,4,5,4,3,4,6,5
158,4,3,4,4,4,4,4,5,4,7,4,3
159,5,6,5,5,5,4,5,4,7,4,5,3
160,6,6,5,4,4,3,3,3,1,6,5,3
161,2,3,2,5,5,5,6,5,5,5,4,5
162,3,3,4,4,4,4,5,4,2,5,4,1
163,3,3,4,3,4,3,2,2,3,6,5,4
164,6,6,6,5,5,5,6,6,3,5,6,3
165,3,3,5,2,3,3,2,2,4,6,7,4
166,4,5,4,6,7,5,3,3,5,3,7,4
