I have a clear goal in mind every time I open a social media app.,I find myself scrolling through my phone without remembering why I picked it up.,I consciously choose which digital platforms deserve my attention each day.,My technology use is driven by my needs rather than by notifications.,I find it easy to put my phone in another room when I need to focus.,I feel a strong urge to check my device the moment it vibrates or pings.,I successfully set 'tech-free' zones or times during my daily routine.,I struggle to stop using my devices even when I know I should be sleeping.,I feel that my online personality is a true reflection of who I am offline.,I often post things online mainly to seek validation from others.,My digital interactions leave me feeling more connected rather than more lonely.,I find myself comparing my life unfavorably to the 'highlight reels' of others online.,I can see photos of events I wasn't invited to without feeling upset.,I feel anxious or 'out of the loop' if I am away from my phone for more than an hour.,I am able to ignore online negativity or 'trolling' without it ruining my mood.
3,5,3,4,6,4,6,2,5,2,5,2,7,4,4
5,2,5,6,4,3,5,4,1,6,4,4,4,5,5
4,3,5,7,5,5,3,3,5,3,5,3,4,3,4
3,4,2,2,3,7,1,7,6,3,4,4,4,3,4
5,1,6,5,6,5,5,2,4,5,2,4,3,4,3
5,4,5,5,2,5,2,4,5,4,6,2,6,4,2
5,5,7,6,3,4,6,3,6,3,4,1,5,2,4
4,4,4,5,6,5,4,3,1,3,2,6,5,4,3
4,4,5,3,4,3,3,5,5,4,6,4,6,3,5
4,2,4,6,6,3,6,4,6,4,3,6,4,3,4
5,6,4,4,5,3,6,3,5,3,4,5,5,3,5
5,2,6,6,5,4,3,3,6,4,5,3,5,2,5
3,6,4,5,4,5,4,5,7,4,6,3,6,2,4
4,4,2,2,3,3,3,5,5,4,7,5,4,3,6
7,5,6,6,4,6,4,4,6,2,4,3,6,2,5
2,3,4,5,7,3,3,4,5,4,2,3,3,5,4
6,4,5,6,2,3,4,4,6,6,2,4,4,4,3
4,5,3,3,4,5,2,4,4,4,6,3,5,5,5
2,5,3,4,4,6,5,5,5,4,4,4,4,5,4
3,4,1,4,3,5,3,2,3,4,3,3,5,4,4
3,5,3,3,4,6,3,4,3,5,4,4,5,3,5
2,6,2,2,2,4,4,4,4,4,4,3,5,3,4
5,4,4,5,3,7,7,4,4,4,7,4,5,4,3
4,4,4,5,3,4,4,5,6,2,5,3,6,3,5
5,5,5,4,4,7,5,4,6,3,4,4,4,3,2
1,7,2,1,3,6,3,5,3,5,3,5,4,2,3
5,5,5,6,4,5,4,4,4,3,4,3,5,4,5
4,5,6,6,4,6,4,5,3,5,3,7,3,5,3
7,6,5,7,6,4,3,3,2,4,4,2,5,4,3
4,3,6,5,3,5,4,2,2,5,1,6,3,7,2
3,6,2,4,5,3,6,3,4,5,5,5,3,3,2
3,6,3,7,4,5,6,2,5,3,3,5,3,5,5
